ipc_section,bns_section,status,notes
314,90,suggested,fuzzy title match (99/100): 'Death caused by act done with intent to cause miscarriage' ~ 'Death caused by act done with intent to cause miscarriage.' — please verify
315,91,suggested,fuzzy title match (98/100): 'Act done with intent to prevent child being born alive or to cause it to die after birth' ~ 'Act done with intent to prevent child being born alive or to cause to die after birth.' — please verify
316,92,suggested,fuzzy title match (99/100): 'Causing death of quick unborn child by act amounting to culpable homicide' ~ 'Causing death of quick unborn child by act amounting to culpable homicide.' — please verify
317,93,suggested,"fuzzy title match (95/100): 'Exposure and abandonment of child under twelve years, by parent or person having care of it' ~ 'Exposure and abandonment of child under twelve years of age, by parent or person having care of it.' — please verify"
318,94,suggested,fuzzy title match (99/100): 'Concealment of birth by secret disposal of dead body' ~ 'Concealment of birth by secret disposal of dead body.' — please verify
322,124,suggested,"fuzzy title match (76/100): 'Voluntarily causing grievous hurt' ~ 'Voluntarily causing grievous hurt by use of acid, etc.' — please verify"
324,118,suggested,fuzzy title match (86/100): 'Voluntarily causing hurt by dangerous weapons or means' ~ 'Voluntarily causing hurt or grievous hurt by dangerous weapons or means.' — please verify
326,118,suggested,fuzzy title match (93/100): 'Voluntarily causing grievous hurt by dangerous weapons or means' ~ 'Voluntarily causing hurt or grievous hurt by dangerous weapons or means.' — please verify
326A,124,suggested,"fuzzy title match (99/100): 'Voluntarily causing grievous hurt by use of acid, etc' ~ 'Voluntarily causing grievous hurt by use of acid, etc.' — please verify"
327,119,suggested,"fuzzy title match (87/100): 'Voluntarily causing hurt to extort property, or to constrain to an illegal to an act' ~ 'Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act.' — please verify"
328,123,suggested,"fuzzy title match (99/100): 'Causing hurt by means of poison, etc., with intent to commit and offence' ~ 'Causing hurt by means of poison, etc., with intent to commit an offence.' — please verify"
329,119,suggested,"fuzzy title match (95/100): 'Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act' ~ 'Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act.' — please verify"
330,120,suggested,"fuzzy title match (90/100): 'Voluntarily causing hurt to extort confession, or to compel restoration of property' ~ 'Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property.' — please verify"
331,120,suggested,"fuzzy title match (95/100): 'Voluntarily causing grievous hurt to extort confession, or to compel restoration of property' ~ 'Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property.' — please verify"
332,121,suggested,fuzzy title match (87/100): 'Voluntarily causing hurt to deter public servant from his duty' ~ 'Voluntarily causing hurt or grievous hurt to deter public servant from his duty.' — please verify
333,121,suggested,fuzzy title match (94/100): 'Voluntarily causing grievous hurt to deter public servant from his duty' ~ 'Voluntarily causing hurt or grievous hurt to deter public servant from his duty.' — please verify
334,122,suggested,fuzzy title match (81/100): 'Voluntarily causing hurt on provocation' ~ 'Voluntarily causing hurt or grievous hurt on provocation.' — please verify
335,122,suggested,fuzzy title match (91/100): 'Voluntarily causing grievous hurt on provocation' ~ 'Voluntarily causing hurt or grievous hurt on provocation.' — please verify
336,125,suggested,fuzzy title match (99/100): 'Act endangering life or personal safety of others' ~ 'Act endangering life or personal safety of others.' — please verify
337,125,suggested,fuzzy title match (83/100): 'Causing hurt by act endangering life or personal safety of others' ~ 'Act endangering life or personal safety of others.' — please verify
338,125,suggested,fuzzy title match (77/100): 'Causing grievous hurt by act endangering life or personal safety of others' ~ 'Act endangering life or personal safety of others.' — please verify
339,126,suggested,fuzzy title match (97/100): 'Wrongful restraint' ~ 'Wrongful restraint.' — please verify
340,127,suggested,fuzzy title match (98/100): 'Wrongful confinement' ~ 'Wrongful confinement.' — please verify
346,127,suggested,fuzzy title match (78/100): 'Wrongful confinement in secret' ~ 'Wrongful confinement.' — please verify
349,128,suggested,fuzzy title match (91/100): 'Force' ~ 'Force.' — please verify
350,129,suggested,fuzzy title match (97/100): 'Criminal force' ~ 'Criminal force.' — please verify
351,130,suggested,fuzzy title match (93/100): 'Assault' ~ 'Assault.' — please verify
352,131,suggested,fuzzy title match (99/100): 'Punishment for assault or criminal force otherwise than on grave provocation' ~ 'Punishment for assault or criminal force otherwise than on grave provocation.' — please verify
353,132,suggested,fuzzy title match (99/100): 'Assault or criminal force to deter public servant from discharge of his duty' ~ 'Assault or criminal force to deter public servant from discharge of his duty.' — please verify
354,74,suggested,fuzzy title match (95/100): 'Assault or criminal force to woman with intent to outrage her modesty' ~ 'Assault or use of criminal force to woman with intent to outrage her modesty.' — please verify
354B,76,suggested,fuzzy title match (99/100): 'Assault or use of criminal force to woman with intent to disrobe' ~ 'Assault or use of criminal force to woman with intent to disrobe.' — please verify
354C,77,suggested,fuzzy title match (95/100): 'Voyeurism' ~ 'Voyeurism.' — please verify
354E,308,suggested,fuzzy title match (80/100): 'Sextortion' ~ 'Extortion.' — please verify
355,133,suggested,"fuzzy title match (99/100): 'Assault or criminal force with intent to dishonour person, otherwise than on grave provocation' ~ 'Assault or criminal force with intent to dishonour person, otherwise than on grave provocation.' — please verify"
356,134,suggested,fuzzy title match (99/100): 'Assault or criminal force in attempt to commit theft of property carried by a person' ~ 'Assault or criminal force in attempt to commit theft of property carried by a person.' — please verify
357,135,suggested,fuzzy title match (99/100): 'Assault or criminal force in attempt wrongfully to confine a person' ~ 'Assault or criminal force in attempt to wrongfully confine a person.' — please verify
358,136,suggested,fuzzy title match (99/100): 'Assault or criminal force on grave provocation' ~ 'Assault or criminal force on grave provocation.' — please verify
359,137,suggested,fuzzy title match (95/100): 'Kidnapping' ~ 'Kidnapping.' — please verify
362,138,suggested,fuzzy title match (95/100): 'Abduction' ~ 'Abduction.' — please verify
363,64,suggested,fuzzy title match (76/100): 'Punishment for kidnapping' ~ 'Punishment for rape.' — please verify
363A,139,suggested,fuzzy title match (88/100): 'Kidnapping or maiming a minor for purposes of begging' ~ 'Kidnapping or maiming a child for purposes of begging.' — please verify
364,140,suggested,"fuzzy title match (81/100): 'Kidnapping or abducting in order to murder' ~ 'Kidnapping or abducting in order to murder or for ransom, etc.' — please verify"
366,87,suggested,"fuzzy title match (99/100): 'Kidnapping, abducting or inducing woman to compel her marriage, etc' ~ 'Kidnapping, abducting or inducing woman to compel her marriage, etc.' — please verify"
366A,96,suggested,fuzzy title match (74/100): 'Procuration of minor girl' ~ 'Procuration of child.' — please verify
366B,141,suggested,fuzzy title match (91/100): 'Importation of girl from foreign country' ~ 'Importation of girl or boy from foreign country.' — please verify
368,142,suggested,"fuzzy title match (99/100): 'Wrongfully concealing or keeping in confinement, kidnapped or abducted person' ~ 'Wrongfully concealing or keeping in confinement, kidnapped or abducted person.' — please verify"
369,97,suggested,fuzzy title match (95/100): 'Kidnapping or abducting child under ten years with intent to steal from its person' ~ 'Kidnapping or abducting child under ten years of age with intent to steal from its person.' — please verify
370,143,suggested,fuzzy title match (98/100): 'Trafficking of person' ~ 'Trafficking of person.' — please verify
370A,144,suggested,fuzzy title match (99/100): 'Exploitation of a trafficked person' ~ 'Exploitation of a trafficked person.' — please verify
371,145,suggested,fuzzy title match (98/100): 'Habitual dealing in slaves' ~ 'Habitual dealing in slaves.' — please verify
372,98,suggested,"fuzzy title match (86/100): 'Selling minor for purposes of prostitution, etc' ~ 'Selling child for purposes of prostitution, etc.' — please verify"
373,99,suggested,"fuzzy title match (86/100): 'Buying minor for purposes of prostitution, etc' ~ 'Buying child for purposes of prostitution, etc.' — please verify"
374,146,suggested,fuzzy title match (98/100): 'Unlawful compulsory labour' ~ 'Unlawful compulsory labour.' — please verify
375,63,suggested,fuzzy title match (89/100): 'Rape' ~ 'Rape.' — please verify
376,64,suggested,fuzzy title match (97/100): 'Punishment for rape' ~ 'Punishment for rape.' — please verify
376A,66,suggested,fuzzy title match (99/100): 'Punishment for causing death or resulting in persistent vegetative state of victim' ~ 'Punishment for causing death or resulting in persistent vegetative state of victim.' — please verify
376B,67,suggested,fuzzy title match (99/100): 'Sexual intercourse by husband upon his wife during separation' ~ 'Sexual intercourse by husband upon his wife during separation.' — please verify
376C,68,suggested,fuzzy title match (99/100): 'Sexual intercourse by a person in authority' ~ 'Sexual intercourse by a person in authority.' — please verify
376D,70,suggested,fuzzy title match (95/100): 'Gang rape' ~ 'Gang rape.' — please verify
376E,71,suggested,fuzzy title match (98/100): 'Punishment for repeat offenders' ~ 'Punishment for repeat offenders.' — please verify
378,303,suggested,fuzzy title match (91/100): 'Theft' ~ 'Theft.' — please verify
379,64,suggested,fuzzy title match (80/100): 'Punishment for theft' ~ 'Punishment for rape.' — please verify
379A,304,suggested,fuzzy title match (95/100): 'Snatching' ~ 'Snatching.' — please verify
381,306,suggested,fuzzy title match (99/100): 'Theft by clerk or servant of property in possession of master' ~ 'Theft by clerk or servant of property in possession of master.' — please verify
382,307,suggested,"fuzzy title match (96/100): 'Theft after preparation made for causing death, hurt or restraint in order to the committing of the theft' ~ 'Theft after preparation made for causing death, hurt or restraint in order to committing of theft.' — please verify"
383,308,suggested,fuzzy title match (95/100): 'Extortion' ~ 'Extortion.' — please verify
388,55,suggested,"fuzzy title match (73/100): 'Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc' ~ 'Abetment of offence punishable with death or imprisonment for life.' — please verify"
390,309,suggested,fuzzy title match (93/100): 'Robbery' ~ 'Robbery.' — please verify
391,310,suggested,fuzzy title match (93/100): 'Dacoity' ~ 'Dacoity.' — please verify
392,64,suggested,fuzzy title match (81/100): 'Punishment for robbery' ~ 'Punishment for rape.' — please verify
397,311,suggested,"fuzzy title match (99/100): 'Robbery, or dacoity, with attempt to cause death or grievous hurt' ~ 'Robbery, or dacoity, with attempt to cause death or grievous hurt.' — please verify"
398,312,suggested,fuzzy title match (99/100): 'Attempt to commit robbery or dacoity when armed with deadly weapon' ~ 'Attempt to commit robbery or dacoity when armed with deadly weapon.' — please verify
400,313,suggested,"fuzzy title match (80/100): 'Punishment for belonging to gang of dacoits' ~ 'Punishment for belonging to gang of robbers, etc.' — please verify"
401,313,suggested,"fuzzy title match (83/100): 'Punishment for belonging to gang of thieves' ~ 'Punishment for belonging to gang of robbers, etc.' — please verify"
403,314,suggested,fuzzy title match (99/100): 'Dishonest misappropriation of property' ~ 'Dishonest misappropriation of property.' — please verify
410,317,suggested,fuzzy title match (97/100): 'Stolen property' ~ 'Stolen property.' — please verify
415,318,suggested,fuzzy title match (94/100): 'Cheating' ~ 'Cheating.' — please verify
416,319,suggested,fuzzy title match (98/100): 'Cheating by personation' ~ 'Cheating by personation.' — please verify
421,320,suggested,fuzzy title match (99/100): 'Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors' ~ 'Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors.' — please verify
422,321,suggested,fuzzy title match (99/100): 'Dishonestly or fraudulently preventing debt being available for creditors' ~ 'Dishonestly or fraudulently preventing debt being available for creditors.' — please verify
423,322,suggested,fuzzy title match (99/100): 'Dishonest or fraudulent execution of deed of transfer containing false statement of consideration' ~ 'Dishonest or fraudulent execution of deed of transfer containing false statement of consideration.' — please verify
424,323,suggested,fuzzy title match (99/100): 'Dishonest or fraudulent removal or concealment of property' ~ 'Dishonest or fraudulent removal or concealment of property.' — please verify
425,324,suggested,fuzzy title match (94/100): 'Mischief' ~ 'Mischief.' — please verify
426,64,suggested,fuzzy title match (74/100): 'Punishment for mischief' ~ 'Punishment for rape.' — please verify
428,325,suggested,fuzzy title match (73/100): 'Mischief by killing or maiming animal of the value of ten rupees' ~ 'Mischief by killing or maiming animal.' — please verify
436,326,suggested,"fuzzy title match (74/100): 'Mischief by fire or explosive substance with intent to destroy house, etc' ~ 'Mischief by injury, inundation, fire or explosive substance, etc.' — please verify"
437,327,suggested,"fuzzy title match (91/100): 'Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden' ~ 'Mischief with intent to destroy or make unsafe a rail, aircraft, decked vessel or one of twenty tons burden.' — please verify"
439,328,suggested,"fuzzy title match (99/100): 'Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc' ~ 'Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc.' — please verify"
440,307,suggested,"fuzzy title match (73/100): 'Mischief committed after preparation made for causing death or hurt' ~ 'Theft after preparation made for causing death, hurt or restraint in order to committing of theft.' — please verify"
448,331,suggested,fuzzy title match (74/100): 'Punishment for house-trespass' ~ 'Punishment for house-trespass or house- breaking.' — please verify
449,332,suggested,fuzzy title match (78/100): 'House-trespass in order to commit offence punishable with death' ~ 'House-trespass in order to commit offence.' — please verify
450,58,suggested,fuzzy title match (77/100): 'House-trespass in order to commit offence punishable with imprisonment for life' ~ 'Concealing design to commit offence punishable with death or imprisonment for life.' — please verify
451,60,suggested,fuzzy title match (74/100): 'House-trespass in order to commit offence punishable with imprisonment' ~ 'Concealing design to commit offence punishable with imprisonment.' — please verify
452,333,suggested,"fuzzy title match (98/100): 'House-trespass alter preparation for hurt, assault or wrongful restraint' ~ 'House-trespass after preparation for hurt, assault or wrongful restraint.' — please verify"
453,331,suggested,fuzzy title match (75/100): 'Punishment for lurking house-trespass or house-breaking' ~ 'Punishment for house-trespass or house- breaking.' — please verify
456,331,suggested,fuzzy title match (73/100): 'Punishment for lurking house-trespass or house-breaking by night' ~ 'Punishment for house-trespass or house- breaking.' — please verify
461,334,suggested,fuzzy title match (99/100): 'Dishonestly breaking open receptacle containing property' ~ 'Dishonestly breaking open receptacle containing property.' — please verify
464,335,suggested,fuzzy title match (98/100): 'Making a false document' ~ 'Making a false document.' — please verify
465,64,suggested,fuzzy title match (81/100): 'Punishment for forgery' ~ 'Punishment for rape.' — please verify
475,342,suggested,"fuzzy title match (97/100): 'Counterfeiting device or mark used for authenticating documents described in section 467, or possessing counterfeit marked material' ~ 'Counterfeiting device or mark used for authenticating documents described in section 338, or possessing counterfeit marked material.' — please verify"
476,342,suggested,"fuzzy title match (91/100): 'Counterfeiting device or mark used for authenticating documents other than those described in section 467, or possessing counterfeit marked material' ~ 'Counterfeiting device or mark used for authenticating documents described in section 338, or possessing counterfeit marked material.' — please verify"
477,343,suggested,"fuzzy title match (99/100): 'Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security' ~ 'Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security.' — please verify"
477A,344,suggested,fuzzy title match (98/100): 'Falsification of accounts' ~ 'Falsification of accounts.' — please verify
479,345,suggested,fuzzy title match (96/100): 'Property mark' ~ 'Property mark.' — please verify
483,347,suggested,fuzzy title match (78/100): 'Counterfeiting a property mark used by another' ~ 'Counterfeiting a property mark.' — please verify
485,348,suggested,fuzzy title match (99/100): 'Making or possession of any instrument for counterfeiting a property mark' ~ 'Making or possession of any instrument for counterfeiting a property mark.' — please verify
486,349,suggested,fuzzy title match (99/100): 'Selling goods marked with a counterfeit property mark' ~ 'Selling goods marked with a counterfeit property mark.' — please verify
487,350,suggested,fuzzy title match (99/100): 'Making a false mark upon any receptacle containing goods' ~ 'Making a false mark upon any receptacle containing goods.' — please verify
489,346,suggested,fuzzy title match (99/100): 'Tampering with property mark with intent to cause injury' ~ 'Tampering with property mark with intent to cause injury.' — please verify
489D,181,suggested,"fuzzy title match (84/100): 'Making or possessing instruments or materials for forging or counterfeiting currency notes or bank-notes' ~ 'Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes.' — please verify"
489E,182,suggested,fuzzy title match (99/100): 'Making or using documents resembling currency-notes or bank-notes' ~ 'Making or using documents resembling currency-notes or bank-notes.' — please verify
496,83,suggested,fuzzy title match (99/100): 'Marriage ceremony fraudulently gone through without lawful marriage' ~ 'Marriage ceremony fraudulently gone through without lawful marriage.' — please verify
498,84,suggested,fuzzy title match (99/100): 'Enticing or taking away or detaining with criminal intent a married woman' ~ 'Enticing or taking away or detaining with criminal intent a married woman.' — please verify
498A,85,suggested,fuzzy title match (99/100): 'Husband or relative of husband of a woman subjecting her to cruelty' ~ 'Husband or relative of husband of a woman subjecting her to cruelty.' — please verify
499,356,suggested,fuzzy title match (95/100): 'Defamation' ~ 'Defamation.' — please verify
503,351,suggested,fuzzy title match (98/100): 'Criminal intimidation' ~ 'Criminal intimidation.' — please verify
504,352,suggested,fuzzy title match (96/100): 'Intentional insult with intent to provoke breach of the peace' ~ 'Intentional insult with intent to provoke breach of peace.' — please verify
505,353,suggested,fuzzy title match (99/100): 'Statements conducing to public mischief' ~ 'Statements conducing to public mischief.' — please verify
508,354,suggested,fuzzy title match (97/100): 'Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure' ~ 'Act caused by inducing person to believe that he will be rendered an object of Divine displeasure.' — please verify
509A,75,suggested,fuzzy title match (72/100): 'Sexual harassment by relative' ~ 'Sexual harassment.' — please verify
510,355,suggested,fuzzy title match (99/100): 'Misconduct in public by a drunken person' ~ 'Misconduct in public by a drunken person.' — please verify
511,62,suggested,fuzzy title match (100/100): 'Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment' ~ 'Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment.' — please verify
